index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,reasoning,attribute_scores,emotions,romance_topics,party_club,violence,politics_religion,success_money,family,slang_usage,formal_language,profanity,intensifiers,hedges,first_person,second_person,third_person,confidence,doubt_uncertainty,politeness,aggression_toxicity,cultural_references
12,Ain't No Future In Yo' Frontin',MC Breed,male,north america,spotify,Male,North America,"1. The heavy use of slang ('ya'll', 'peeps', 'nigga', 'geeked', 'cobras', 'suckers') and informal language is characteristic of North American hip-hop. 2. The lyrical content revolves around themes of street credibility, boasting about skills and possessions, and aggressive posturing, which aligns with male perspectives in this genre. 3. The explicit language and confrontational tone further suggest a male artist operating within a North American urban context.","{'emotions': 7, 'romance_topics': 1, 'party_club': 4, 'violence': 7, 'politics_religion': 1, 'success_money': 8, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 7, 'intensifiers': 6, 'hedges': 2, 'first_person': 10, 'second_person': 6, 'third_person': 2, 'confidence': 8, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 7}",7,1,4,7,1,8,1,9,1,7,6,2,10,6,2,8,1,1,8,7
13,It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,female,north america,spotify,Female,North America,"1. First I noticed the frequent use of second-person pronouns ('you,' 'your') and first-person pronouns ('I,' 'me,' 'my'), indicating a focus on a romantic relationship and personal feelings. 2. Then I observed the slang usage ('j s,' 'rockin my body,' 'pulling up') and informal language, which is characteristic of contemporary popular music. The lyrics also contain references to cars, beaches, and summertime activities, common themes in North American pop culture. 3. This led me to conclude that the artist is likely a female from North America, given the lyrical content, slang, and overall tone.","{'emotions': 8, 'romance_topics': 9, 'party_club': 4, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 4, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 9, 'third_person': 2, 'confidence': 6, 'doubt_uncertainty': 1, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 6}",8,9,4,1,1,3,1,8,1,4,6,1,8,9,2,6,1,2,1,6
14,Phenomenal,Eminem,male,north america,spotify,Male,North America,"1. First I noticed the aggressive and assertive tone, coupled with boasts of strength and resilience, which are often more prevalent in male artists within hip-hop/rap genres. 2. Then I observed the slang usage and profanity, common in North American rap music. The references to 'clown' and the general lyrical style align with this regional influence. 3. This led me to conclude that the artist is likely male and originates from North America.","{'emotions': 7, 'romance_topics': 2, 'party_club': 1, 'violence': 3, 'politics_religion': 1, 'success_money': 5, 'family': 1, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,2,1,3,1,5,1,6,2,4,5,2,9,7,3,6,2,1,3,5
15,Try,P!nk,female,north america,spotify,Male,North America,"1. First I noticed a significant use of first-person pronouns ('I,' 'me,' 'my') alongside second-person pronouns ('you,' 'your'), suggesting a direct address and personal reflection common in male-dominated genres like pop or rock. 2. Then I observed themes of heartbreak, desire, and resilience, frequently explored in male artists' narratives. The repetition of 'try, try, try' also hints at a motivational style often found in male artists. 3. This led me to conclude that the artist is likely male and originates from North America, given the lyrical style and thematic content.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
16,Not To Much - Remastered 2016,Don Omar,male,north america,spotify,Male,North America,"1. First I noticed the frequent use of first-person pronouns ('I,' 'me,' 'my') and second-person pronouns ('you,' 'your'), suggesting a narrative focused on personal interaction and address. 2. Then I observed the lyrical content revolving around attraction, physical intimacy, and a somewhat provocative or suggestive dynamic between two individuals, which is often explored in male-dominated genres. The references to 'Guille' and a 'short skirt' and 'tiny shirt' further leans towards a male perspective. 3. This led me to conclude that the artist is likely male, and given the modern slang usage and themes, the region is most likely North America.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
17,Love Sosa,Chief Keef,male,north america,spotify,Male,North America,"1. The pervasive use of slang terms like 'nigga,' 'bd,' 'lamron,' 'sosa,' 'glo boys,' and 'go boy' strongly suggests a North American, specifically US, origin, and a subculture heavily influenced by hip-hop. 2. The lyrical content revolves around themes of street credibility, defiance, and boasts of wealth and power, common in certain subgenres of hip-hop. 3. The repetitive and aggressive language, combined with the frequent use of profanity, points towards a male artist.","{'emotions': 7, 'romance_topics': 2, 'party_club': 3, 'violence': 8, 'politics_religion': 1, 'success_money': 9, 'family': 1, 'slang_usage': 10, 'formal_language': 1, 'profanity': 10, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 9, 'cultural_references': 8}",7,2,3,8,1,9,1,10,1,10,4,1,8,6,4,7,2,1,9,8
18,Mama Knew Love,Anthony Hamilton,male,north america,spotify,Male,North America,"1. The artist's name is Anthony Hamilton, a known male vocalist from North America. 2. The lyrics contain colloquial language and phrasing common in American vernacular, particularly within the R&B genre. 3. The themes of family, struggle, and unconditional love are frequently explored by male artists within the North American music scene.","{'emotions': 9, 'romance_topics': 4, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 10, 'slang_usage': 7, 'formal_language': 1, 'profanity': 1, 'intensifiers': 6, 'hedges': 1, 'first_person': 5, 'second_person': 2, 'third_person': 6, 'confidence': 4, 'doubt_uncertainty': 1, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 7}",9,4,1,1,1,3,10,7,1,1,6,1,5,2,6,4,1,2,1,7
19,Generé,Bipo Montana,male,north america,spotify,Male,North America,"1. First I noticed a heavy emphasis on personal achievement ('From below to the top I rose,' 'I generated a money maker') and boasts of financial success, a common trope in male-dominated hip-hop narratives. 2. Then I observed the use of slang and informal language, along with aggressive and confrontational lyrics directed at others ('You generate very little,' 'you're picking your nose'). The references to drug use and casual sexual encounters also point towards a male perspective. 3. This led me to conclude that the artist is likely male and operating within the North American hip-hop scene, given the lyrical content and style.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
20,Did It Again,Lil Tecca,male,north america,spotify,Male,North America,"1. First I noticed the heavy use of AAVE (African American Vernacular English) features such as 'nigga,' 'juggin,' and grammatical structures like 'a nigga land.' 2. Then I observed the themes of wealth, success, and conflict, common in contemporary North American hip-hop. The references to brands like Benz, Rari, and the specific mention of France also suggest a North American perspective. 3. This led me to conclude that the artist is likely male and originates from North America.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
21,I'll Be All You'll Ever Need,Trinere,female,north america,spotify,Female,North America,"1. First I noticed a strong focus on romantic interaction and desire, expressed from a perspective actively pursuing a partner. The language used ('be your girl,' 'make you sure with my love') suggests a female persona. 2. Then I observed the use of slang like 'guy' and the relatively informal tone throughout the lyrics, common in North American popular music. 3. This led me to conclude that the artist is likely female and originates from North America.","{'emotions': 7, 'romance_topics': 8, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 6, 'formal_language': 2, 'profanity': 1, 'intensifiers': 5, 'hedges': 1, 'first_person': 9, 'second_person': 7, 'third_person': 2, 'confidence': 6, 'doubt_uncertainty': 3, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 3}",7,8,1,1,1,2,1,6,2,1,5,1,9,7,2,6,3,2,1,3
22,Heartless (feat. Mustard),Polo G,male,north america,spotify,Male,North America,"1. First I noticed the heavy use of slang terms like 'ho,' 'opp,' 'deebo,' and references to drug dealing ('dope gang,' 'dealing cocaine'). This is common in North American hip-hop. 2. Then I observed the frequent use of first-person pronouns ('I,' 'my') and second-person pronouns ('you'), along with aggressive language and themes of violence. 3. This led me to conclude that the artist is likely male, given the aggressive and assertive tone, and originates from North America, specifically a region where this type of slang and lyrical content is prevalent.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 9, 'politics_religion': 1, 'success_money': 8, 'family': 2, 'slang_usage': 9, 'formal_language': 1, 'profanity': 7, 'intensifiers': 5, 'hedges': 1, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 7}",7,8,3,9,1,8,2,9,1,7,5,1,9,7,3,6,2,1,8,7
23,Say My Name,Lil Yachty,male,north america,spotify,Male,North America,"1. First I noticed the frequent use of AAVE (African American Vernacular English) features like 'nigga,' 'chaffeured,' and grammatical structures. 2. Then I observed the themes of success, money, and overcoming adversity, common in hip-hop. The references to 'Billie Jean,' 'magazine,' and 'runway' also point to a contemporary, North American context. 3. This led me to conclude that the artist is likely male and from North America, specifically within the hip-hop scene.","{'emotions': 7, 'romance_topics': 5, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 9, 'family': 3, 'slang_usage': 8, 'formal_language': 1, 'profanity': 6, 'intensifiers': 4, 'hedges': 1, 'first_person': 10, 'second_person': 3, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 5, 'cultural_references': 7}",7,5,3,2,1,9,3,8,1,6,4,1,10,3,4,7,3,1,5,7
24,Without You - Remastered,Harry Nilsson,male,north america,spotify,Male,North America,"1. First I noticed a strong emphasis on personal feelings of loss and longing, expressed through repetition and emotional language like 'sorrow' and 'cannot live.' This is a common theme in male-dominated genres like ballads and singer-songwriter music. 2. Then I observed the use of relatively simple sentence structures and a conversational tone, suggesting a more accessible and relatable style often found in North American music. The repetition and directness also align with certain stylistic choices. 3. This led me to conclude that the artist is likely male, originating from North America, given the lyrical content and stylistic elements.","{'emotions': 9, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 3, 'formal_language': 2, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 10, 'second_person': 6, 'third_person': 1, 'confidence': 4, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 2}",9,10,1,1,1,1,1,3,2,1,4,1,10,6,1,4,3,1,1,2
25,Raise Up,Petey Pablo,male,north america,spotify,Male,North America,"1. Initially, the repeated references to 'North Carolina' and the call to 'raise up' and perform a specific action (taking off a shirt and spinning it) suggest a regional, celebratory style often found in North American hip-hop. 2. The heavy use of slang, profanity ('motherfucker'), and specific regional place names (Polk, Bladen, Marshall, etc.) reinforces a localized, likely North American, origin. 3. The lyrics' focus on personal success ('superstar', 'big ol car') and references to incarcerated individuals ('niggas done time') further point towards a male perspective and themes prevalent in certain North American subcultures.","{'emotions': 7, 'romance_topics': 1, 'party_club': 3, 'violence': 3, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,1,3,3,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
26,Get the Party Started,P!nk,female,north america,spotify,Male,North America,"1. First I noticed the frequent use of slang terms like 'freaking,' 'chill,' and the overall conversational tone, which are common in North American hip-hop/rap. 2. Then I observed the focus on material possessions (Mercedes Benz, gold diamond rings), partying, and establishing dominance ('kissing my ass,' 'superstar'), themes frequently associated with male artists in this genre. 3. This led me to conclude that the artist is likely a male from North America, specifically within the hip-hop/rap scene.","{'emotions': 7, 'romance_topics': 2, 'party_club': 10, 'violence': 3, 'politics_religion': 1, 'success_money': 8, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 3, 'intensifiers': 6, 'hedges': 1, 'first_person': 9, 'second_person': 6, 'third_person': 2, 'confidence': 8, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 6}",7,2,10,3,1,8,1,8,1,3,6,1,9,6,2,8,1,1,4,6
27,Paloma Negra,Chavela Vargas,female,north america,spotify,Male,North America,"1. First I noticed the prevalence of first-person pronouns ('I,' 'me,' 'my') and expressions of intense emotion like sadness and longing, which are often associated with male artists expressing vulnerability. 2. Then I observed the use of metaphors related to suffering and imprisonment ('tear out the nails of my suffering,' 'bars of my suffering') combined with a somewhat aggressive tone towards the subject of the song, a pattern sometimes seen in male artists. 3. This led me to conclude that the artist is likely male and the style suggests a North American influence, given the directness of the emotional expression and the use of certain metaphors.","{'emotions': 9, 'romance_topics': 10, 'party_club': 6, 'violence': 4, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 4, 'formal_language': 2, 'profanity': 3, 'intensifiers': 6, 'hedges': 1, 'first_person': 10, 'second_person': 6, 'third_person': 2, 'confidence': 3, 'doubt_uncertainty': 5, 'politeness': 2, 'aggression_toxicity': 5, 'cultural_references': 4}",9,10,6,4,1,1,1,4,2,3,6,1,10,6,2,3,5,2,5,4
28,2025-11-07 00:00:00,Beyoncé,female,north america,spotify,Male,North America,"1. First I noticed a heavy emphasis on repetitive phrases and slang terms like 'smack it,' 'flexin,' and references to 'seven eleven' which are characteristic of contemporary North American hip-hop/rap music. 2. Then I observed the frequent use of first-person pronouns ('I,' 'my') and second-person pronouns ('you') suggesting a direct address to an audience, common in performance-oriented music. The language is informal and energetic. 3. This led me to conclude that the artist is likely male, given the typical lyrical content and delivery style of this genre, and originates from North America due to the specific slang and cultural references.","{'emotions': 6, 'romance_topics': 1, 'party_club': 9, 'violence': 1, 'politics_religion': 1, 'success_money': 4, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 3, 'intensifiers': 3, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 2, 'cultural_references': 7}",6,1,9,1,1,4,1,9,1,3,3,1,8,6,2,7,1,1,2,7
