index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,gender_keywords,gender_reasoning,continent_keywords,continent_reasoning,raw_model_response
37,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,male,north america,spotify,,North America,,,,,CONTINENT: North America
38,Encanto,Don Omar,male,north america,spotify,,North America,,,,,CONTINENT: North America
39,I Don't Wanna,Aaliyah,female,north america,spotify,,North America,,,,,CONTINENT: North America
40,First World Problemz / Nobody Carez,Brent Faiyaz,male,north america,spotify,,North America,,,,,CONTINENT: North America
41,Marvins Room,Drake,male,north america,spotify,,North America,,,,,CONTINENT: North America
42,Beautiful Trauma - MOTi Remix,P!nk,female,north america,spotify,,North America,,,,,CONTINENT: North America
43,Dancewitme,Maxwell,male,north america,spotify,,North America,,,,,CONTINENT: North America
44,Grateful (Neon Feather Remix),Cade Thompson,male,north america,spotify,,North America,,,,,CONTINENT: North America
45,Jungli Sher,DIVINE,male,north america,spotify,,Asia,,,,,CONTINENT: Asia
46,Hot In Herre,Nelly,male,north america,spotify,,North America,,,,,CONTINENT: North America
47,Rearranged,Killstation,male,north america,spotify,,North America,,,,,CONTINENT: North America
48,No Stylist,French Montana,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
49,Da Graveyard,Big L,male,north america,spotify,,North America,,,,,CONTINENT: North America
50,Bored,Billie Eilish,female,north america,spotify,,North America,,,,,CONTINENT: North America
51,Certainly - Flipped It,Erykah Badu,female,north america,spotify,,North America,,,,,CONTINENT: North America
52,Don't You Want Me,Jody Watley,female,north america,spotify,,North America,,,,,CONTINENT: North America
53,I'm a Mess,Bebe Rexha,female,north america,spotify,,North America,,,,,CONTINENT: North America
54,Ready Set (feat. Big Sean),Kash Doll,female,north america,spotify,,North America,,,,,CONTINENT: North America
55,I See Your Smile,Gloria Estefan,female,north america,spotify,,North America,,,,,CONTINENT: North America
56,Feel Me (feat. Kanye West),Tyga,male,north america,spotify,,North America,,,,,CONTINENT: North America
57,Andar Conmigo,Julieta Venegas,female,north america,spotify,,Europe,,,,,CONTINENT: Europe
58,"Camelot (feat. Yo Gotti, BlocBoy JB & Moneybagg Yo) - Remix",NLE Choppa,male,north america,spotify,,North America,,,,,CONTINENT: North America
59,Nothin' But The Cavi Hit,Mack 10,male,north america,spotify,,North America,,,,,CONTINENT: North America
60,Alladat,Jarren Benton,male,north america,spotify,,North America,,,,,CONTINENT: North America
61,Forget,Twin Shadow,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
62,It's Goin' Down (feat. Nitti),Yung Joc,male,north america,spotify,,North America,,,,,CONTINENT: North America
63,Middle Of The Night,MJG,male,north america,spotify,,North America,,,,,CONTINENT: North America
64,Miss You Much,Janet Jackson,female,north america,spotify,,North America,,,,,CONTINENT: North America
65,Best Life,Danny Brown,male,north america,spotify,,North America,,,,,CONTINENT: North America
66,Talk - Alle Farben Remix,Khalid,male,north america,spotify,,North America,,,,,CONTINENT: North America
67,The Way,Ariana Grande,female,north america,spotify,,North America,,,,,CONTINENT: North America
68,Ride Wit Me,Nelly,male,north america,spotify,,North America,,,,,CONTINENT: North America
69,We Don't Talk Anymore,Charlie Puth,male,north america,spotify,,North America,,,,,CONTINENT: North America
70,"i hate u, i love u (feat. olivia o'brien) - Deepend Remix",gnash,male,north america,spotify,,North America,,,,,CONTINENT: North America
71,Drew Barrymore,SZA,female,north america,spotify,,North America,,,,,CONTINENT: North America
72,Fire Fly,Childish Gambino,male,north america,spotify,,North America,,,,,CONTINENT: North America
73,Liar,Camila Cabello,female,north america,spotify,,North America,,,,,CONTINENT: North America
74,Safety (feat. DJ Snake) - Dark Heart Burn Mix,GASHI,male,north america,spotify,,North America,,,,,CONTINENT: North America
75,Best Rapper Alive,Lil Wayne,male,north america,spotify,,North America,,,,,CONTINENT: North America
76,Sleepy Eyes,Elohim,female,north america,spotify,,North America,,,,,CONTINENT: North America
77,Got To Get It,Sisqo,male,north america,spotify,,North America,,,,,CONTINENT: North America
78,Inocente,Myke Towers,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
79,Make Believe,Kenny Lattimore,male,north america,spotify,,North America,,,,,CONTINENT: North America
80,High Fashion (feat. Mustard),Roddy Ricch,male,north america,spotify,,North America,,,,,CONTINENT: North America
81,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,female,north america,spotify,,North America,,,,,CONTINENT: North America
82,Nasty,Janet Jackson,female,north america,spotify,,North America,,,,,CONTINENT: North America
83,Dr. Beat,Gloria Estefan,female,north america,spotify,,North America,,,,,CONTINENT: North America
84,Cupid Shuffle,Cupid,male,north america,spotify,,North America,,,,,CONTINENT: North America
85,Por Contarle Los Secretos,Jon Z,male,north america,spotify,,North America,,,,,CONTINENT: North America
86,Not Backing Down,Blanca,female,north america,spotify,,North America,,,,,CONTINENT: North America
87,FRIENDS,Marshmello,male,north america,spotify,,North America,,,,,CONTINENT: North America
88,All Day All Night,Bobby Brown,male,north america,spotify,,North America,,,,,CONTINENT: North America
89,Good Nights (feat. Mascolo),Whethan,male,north america,spotify,,North America,,,,,CONTINENT: North America
90,Where Do We Go,Solange,female,north america,spotify,,North America,,,,,CONTINENT: North America
91,All In My Head,Tori Kelly,female,north america,spotify,,North America,,,,,CONTINENT: North America
92,Sorry,Justin Bieber,male,north america,spotify,,North America,,,,,CONTINENT: North America
93,Sleep Talking,Charlotte Lawrence,female,north america,spotify,,North America,,,,,CONTINENT: North America
94,Nudies,24hrs,male,north america,spotify,,North America,,,,,CONTINENT: North America
95,Can't C Me,2Pac,male,north america,spotify,,North America,,,,,CONTINENT: North America
96,You're Makin' Me High,Toni Braxton,female,north america,spotify,,North America,,,,,CONTINENT: North America
97,News For You,Eric Benét,male,north america,spotify,,North America,,,,,CONTINENT: North America
98,This Is The Shack,Warren G,male,north america,spotify,,North America,,,,,CONTINENT: North America
99,In Da Club,50 Cent,male,north america,spotify,,North America,,,,,CONTINENT: North America
100,Outta My Head (with John Mayer),Khalid,male,north america,spotify,,North America,,,,,CONTINENT: North America
101,UP THE SMOKE (with Offset),Stunna 4 Vegas,male,north america,spotify,,North America,,,,,CONTINENT: North America
102,Into You (feat. Tamia) - Radio Edit,Fabolous,male,north america,spotify,,North America,,,,,CONTINENT: North America
103,Side To Side - Slushii Remix,Ariana Grande,female,north america,spotify,,North America,,,,,CONTINENT: North America
104,Good Looking,Don Omar,male,north america,spotify,,North America,,,,,CONTINENT: North America
105,More,Zion,male,north america,spotify,,South America,,,,,CONTINENT: South America
106,Los Angeles Times,Xzibit,male,north america,spotify,,North America,,,,,CONTINENT: North America
107,Ronca,Don Omar,male,north america,spotify,,North America,,,,,CONTINENT: North America
108,Get It On Tonite,Montell Jordan,male,north america,spotify,,North America,,,,,CONTINENT: North America
109,Free (feat. T-Jay),GAWVI,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
110,Love Scars,Trippie Redd,male,north america,spotify,,North America,,,,,CONTINENT: North America
111,Storm (feat. Kyra Mastro),Famba,male,north america,spotify,,North America,,,,,CONTINENT: North America
112,Fuentes de Ortiz,Ed Maverick,male,north america,spotify,,South America,,,,,CONTINENT: South America
113,Without Love,Nikka Costa,female,north america,spotify,,North America,,,,,CONTINENT: North America
114,Grillz - Dirty,Nelly,male,north america,spotify,,North America,,,,,CONTINENT: North America
115,So Good (feat. Raekwon),Davina,female,north america,spotify,,Africa,,,,,CONTINENT: Africa
116,Seppuku (feat. Suicideboy$ & Jgrxxn),Ghostemane,male,north america,spotify,,North America,,,,,CONTINENT: North America
117,Belief - Acoustic,John Mayer,male,north america,spotify,,North America,,,,,CONTINENT: North America
118,Dilemma,Nelly,male,north america,spotify,,North America,,,,,CONTINENT: North America
119,When Can I See You,Babyface,male,north america,spotify,,North America,,,,,CONTINENT: North America
120,Fortunate,Maxwell,male,north america,spotify,,North America,,,,,CONTINENT: North America
121,Your Peace (feat. Lil Baby),Jacquees,male,north america,spotify,,North America,,,,,CONTINENT: North America
122,Blood // Water,grandson,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
123,Shame,Freddie Gibbs,male,north america,spotify,,North America,,,,,CONTINENT: North America
124,I Saw the Light,Todd Rundgren,male,north america,spotify,,North America,,,,,CONTINENT: North America
125,They Don't Know,Jon B.,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
126,This Is America,Childish Gambino,male,north america,spotify,,North America,,,,,CONTINENT: North America
127,In My Feelings,Drake,male,north america,spotify,,North America,,,,,CONTINENT: North America
128,Backyard Boogie,Mack 10,male,north america,spotify,,North America,,,,,CONTINENT: North America
129,Estamos Arriba,Bad Bunny,male,north america,spotify,,North America,,,,,CONTINENT: North America
130,Let The Beat Build,Lil Wayne,male,north america,spotify,,North America,,,,,CONTINENT: North America
131,Hooka,Don Omar,male,north america,spotify,,South America,,,,,CONTINENT: South America
132,Can't Take My Eyes off You,Frankie Valli,male,north america,spotify,,North America,,,,,CONTINENT: North America
133,I Seen A Man Die,Scarface,male,north america,spotify,,North America,,,,,CONTINENT: North America
134,Golden,Jill Scott,female,north america,spotify,,North America,,,,,CONTINENT: North America
135,Make It Better (feat. Smokey Robinson),Anderson .Paak,male,north america,spotify,,North America,,,,,CONTINENT: North America
136,ZEZE (feat. Travis Scott & Offset),Kodak Black,male,north america,spotify,,North America,,,,,CONTINENT: North America
137,Ghost - Lost Kings Remix,Halsey,female,north america,spotify,,North America,,,,,CONTINENT: North America
138,Just Us (feat. SZA),DJ Khaled,male,north america,spotify,,North America,,,,,CONTINENT: North America
139,Sola,Luis Fonsi,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
140,Forever,Drake,male,north america,spotify,,North America,,,,,CONTINENT: North America
141,The Format,AZ,male,north america,spotify,,North America,,,,,CONTINENT: North America
142,Pretending (feat. Jessie Reyez),A Boogie Wit da Hoodie,male,north america,spotify,,North America,,,,,CONTINENT: North America
143,Issues/Hold On,Teyana Taylor,female,north america,spotify,,North America,,,,,CONTINENT: North America
144,No Me Dejes de Querer,Gloria Estefan,female,north america,spotify,,South America,,,,,CONTINENT: South America
145,All I Want for Christmas Is You,Mariah Carey,female,north america,spotify,,North America,,,,,CONTINENT: North America
146,Don't Stop The Music,Rihanna,female,north america,spotify,,Africa,,,,,CONTINENT: Africa
147,Hideaway,Kiesza,female,north america,spotify,,North America,,,,,CONTINENT: North America
148,VALENTINO,24kGoldn,male,north america,spotify,,North America,,,,,CONTINENT: North America
149,Flying On My Own - Dave Audé Remix,Céline Dion,female,north america,spotify,,North America,,,,,CONTINENT: North America
150,Low (feat. T-Pain),Flo Rida,male,north america,spotify,,North America,,,,,CONTINENT: North America
151,Into You (feat. Fabolous),Tamia,female,north america,spotify,,North America,,,,,CONTINENT: North America
152,No Captain - Dirty South Remix,Lane 8,male,north america,spotify,,North America,,,,,CONTINENT: North America
153,Emotions,Mariah Carey,female,north america,spotify,,North America,,,,,CONTINENT: North America
154,Beside You,Karyn White,female,north america,spotify,,North America,,,,,CONTINENT: North America
155,Pumps and a Bump,MC Hammer,male,north america,spotify,,North America,,,,,CONTINENT: North America
156,Outlaw Shit (feat. Waylon Jennings & Yelawolf),Struggle Jennings,male,north america,spotify,,North America,,,,,CONTINENT: North America
157,Belly Danza - Remastered 2016,Don Omar,male,north america,spotify,,South America,,,,,CONTINENT: South America
158,Father O'Blivion,Frank Zappa,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
159,Let Her Go,6LACK,male,north america,spotify,,North America,,,,,CONTINENT: North America
160,Hands In The Air,8Ball,male,north america,spotify,,North America,,,,,CONTINENT: North America
161,Never Lie (feat. Moneybagg Yo),Wiz Khalifa,male,north america,spotify,,North America,,,,,CONTINENT: North America
162,Lyte as a Rock,MC Lyte,female,north america,spotify,,North America,,,,,CONTINENT: North America
163,At Last - Single Version,Etta James,female,north america,spotify,,North America,,,,,CONTINENT: North America
164,Missing You,Case,male,north america,spotify,,North America,,,,,CONTINENT: North America
165,Dynamite,China Anne McClain,female,north america,spotify,,North America,,,,,CONTINENT: North America
166,Too Many,Tyga,male,north america," cum inside"" (Yeah)",,North America,,,,,CONTINENT: North America
180, four, three hoes," I got too many""", nigga,,,Africa,,,,,"Please provide the lyrics you want me to classify. I need the text of the song to determine the continent of origin. Once you provide the lyrics, I will analyze them and return the classification in the requested format:

CONTINENT: <Africa|Asia|Europe|North America|South America|Oceania>"
181,Somethin' 4 Da Honeyz,Montell Jordan,male,north america,spotify,,North America,,,,,CONTINENT: North America
182,Disco Inferno - Live from Sessions @ AOL,50 Cent,male,north america,spotify,,North America,,,,,CONTINENT: North America
183,Love Myself,Hailee Steinfeld,female,north america,spotify,,North America,,,,,CONTINENT: North America
184,"Go Hard, Go Home (feat. Giz, Swellz & Choppa)",Roy Jones Jr.,male,north america,spotify,,North America,,,,,CONTINENT: North America
185,Gimme de Tu Amor,Soraya,female,north america,spotify,,Europe,,,,,CONTINENT: Europe
186,Eastside (with Halsey & Khalid),benny blanco,male,north america,spotify,,North America,,,,,CONTINENT: North America
187,Yuck,Logic,male,north america,spotify,,North America,,,,,CONTINENT: North America
188,Bump n' Grind,R. Kelly,male,north america,spotify,,North America,,,,,CONTINENT: North America
189,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,male,north america,spotify,,North America,,,,,CONTINENT: North America
190,The Party & The After Party,The Weeknd,male,north america,spotify,,North America,,,,,CONTINENT: North America
191,Everlasting Love,Gloria Estefan,female,north america,spotify,,Europe,,,,,CONTINENT: Europe
192,California Love - Original Version (Explicit),2Pac,male,north america,spotify,,North America,,,,,CONTINENT: North America
193,Amor De Pobre,Zion,male,north america,spotify,,South America,,,,,CONTINENT: South America
194,You Know My Name,Tasha Cobbs Leonard,female,north america,spotify,,North America,,,,,CONTINENT: North America
195,Good Cop Bad Cop,Ice Cube,male,north america,spotify,,North America,,,,,CONTINENT: North America
196,Give It Here,Def Jef,male,north america,spotify,,North America,,,,,CONTINENT: North America
197,Parecen Viernes,Marc Anthony,male,north america,spotify,,North America,,,,,CONTINENT: North America
198,Disrespectful,GASHI,male,north america,spotify,,North America,,,,,CONTINENT: North America
199,Like A Pimp,David Banner,male,north america,spotify,,North America,,,,,CONTINENT: North America
200,Cruel,Jeff Bernat,male,north america,spotify,,North America,,,,,CONTINENT: North America
201,Si Me Gano Un Grammy,Jon Z,male,north america,spotify,,North America,,,,,CONTINENT: North America
202,Too Good,Christian Kuria,male,north america,spotify,,North America,,,,,CONTINENT: North America
203,rockstar (feat. 21 Savage),Post Malone,male,north america,spotify,,North America,,,,,CONTINENT: North America
204,De Repente,Soraya,female,north america,spotify,,Europe,,,,,CONTINENT: Europe
205,Where Did My Baby Go,John Legend,male,north america,spotify,,North America,,,,,CONTINENT: North America
206,Xxplosive,Dr. Dre,male,north america,spotify,,North America,,,,,CONTINENT: North America
207,Walk on the Wild Side,Lou Reed,male,north america,spotify,,North America,,,,,CONTINENT: North America
208,Sneak Diss (feat. So6ix),Ghostemane,male,north america,spotify,,North America,,,,,CONTINENT: North America
209,Lemme Freak,Lil Dicky,male,north america,spotify,,North America,,,,,CONTINENT: North America
210,No Problem,Lil Scrappy,male,north america,spotify,,North America,,,,,CONTINENT: North America
211,"Sit Still, Look Pretty",Daya,female,north america,spotify,,North America,,,,,CONTINENT: North America
212,Mrs. Officer,Lil Wayne,male,north america,spotify,,North America,,,,,CONTINENT: North America
213,Paradise,Matthew Parker,male,north america,spotify,,North America,,,,,CONTINENT: North America
214,Be As You Are - JordanXL Remix,Mike Posner,male,north america,spotify,,North America,,,,,CONTINENT: North America
215,Hey Ya,Obadiah Parker,male,north america,spotify,,North America,,,,,CONTINENT: North America
216,Habits of My Heart - EP Version,Jaymes Young,male,north america,spotify,,North America,,,,,CONTINENT: North America
217,TOGETHER,KAYTRANADA,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
218,Hollaback Girl,Gwen Stefani,female,north america,spotify,,North America,,,,,CONTINENT: North America
219,Save Me,Aimee Mann,female,north america,spotify,,Europe,,,,,CONTINENT: Europe
220,Bella y Sensual,Romeo Santos,male,north america,spotify,,North America,,,,,CONTINENT: North America
221,Losing You,Solange,female,north america,spotify,,North America,,,,,CONTINENT: North America
222,It Ain't My Fault,Silkk The Shocker,male,north america,spotify,,North America,,,,,CONTINENT: North America
223,I'm Coming Out,Diana Ross,female,north america,spotify,,North America,,,,,CONTINENT: North America
224,Reminisce,Mary J. Blige,female,north america,spotify,,North America,,,,,CONTINENT: North America
225,When Doves Cry,Ginuwine,male,north america,spotify,,North America,,,,,CONTINENT: North America
226,Pony - Recorded at Spotify Studios NYC,Leon Bridges,male,north america,spotify,,North America,,,,,CONTINENT: North America
227,Still Got Me (feat. Jocelyn Bowman),GAWVI,male,north america,spotify,,North America,,,,,CONTINENT: North America
228,Iggin' Me,Chico DeBarge,male,north america,spotify,,North America,,,,,CONTINENT: North America
229,Regulate,Warren G,male,north america,spotify,,North America,,,,,CONTINENT: North America
230,Rock Bottom,grandson,male,north america,spotify,,North America,,,,,CONTINENT: North America
231,Wow. - Remix,Post Malone,male,north america,spotify,,North America,,,,,CONTINENT: North America
232,Quiere Beber,Anuel AA,male,north america,spotify,,North America,,,,,CONTINENT: North America
233,Wake Up - Sondr Remix,Chelsea Cutler,female,north america,spotify,,Europe,,,,,CONTINENT: Europe
234,More Than A Woman (feat. Calvin) - Duet w/ Calvin,Angie Stone,female,north america,spotify,,North America,,,,,CONTINENT: North America
235,Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,male,north america,spotify,,North America,,,,,CONTINENT: North America
236,Fade All My Life,Unlike Pluto,male,north america,spotify,,North America,,,,,CONTINENT: North America
237,My Prerogative,Bobby Brown,male,north america,spotify,,North America,,,,,CONTINENT: North America
238,Don't Trip,The Game,male,north america,spotify,,North America,,,,,CONTINENT: North America
239,Keep It Real,Jon B.,male,north america,spotify,,North America,,,,,CONTINENT: North America
240,Holidae In,Chingy,male,north america,spotify,,North America,,,,,CONTINENT: North America
241,Anywhere,Dillon Francis,male,north america,spotify,,North America,,,,,CONTINENT: North America
242,Stone Free,Jimi Hendrix,male,north america,spotify,,North America,,,,,CONTINENT: North America
243,Easy Go,Grandtheft,male,north america,spotify,,North America,,,,,CONTINENT: North America
244,Kush Ups (feat. Wiz Khalifa),Snoop Dogg,male,north america,spotify,,North America,,,,,CONTINENT: North America
245,As Above so Look out Below,Ghostemane,male,north america,spotify,,North America,,,,,CONTINENT: North America
246,Two Miles An Hour,Ludacris,male,north america,spotify,,North America,,,,,CONTINENT: North America
247,Cha Cha Cha,MC Lyte,female,north america,spotify,,North America,,,,,CONTINENT: North America
248,BOBBY (feat. My Dad),Logic,male,north america,spotify,,North America,,,,,CONTINENT: North America
249,143,Musiq Soulchild,male,north america,spotify,,North America,,,,,CONTINENT: North America
250,Down On My Luck,Vic Mensa,male,north america,spotify,,North America,,,,,CONTINENT: North America
251,Mall,Gucci Mane,male,north america,spotify,,North America,,,,,CONTINENT: North America
252,No Other Love (feat. Estelle),John Legend,male,north america,spotify,,North America,,,,,CONTINENT: North America
253,Travelin' Man,Albert King,male,north america,spotify,,North America,,,,,CONTINENT: North America
254,"Hold On, We're Going Home",Drake,male,north america,spotify,,North America,,,,,CONTINENT: North America
255,VIBEZ,DaBaby,male,north america,spotify,,North America,,,,,CONTINENT: North America
256,ZEZE,Kodak Black,male,north america,spotify,,North America,,,,,CONTINENT: North America
257,Turnin' Me Up,BJ The Chicago Kid,male,north america,spotify,,North America,,,,,CONTINENT: North America
258,R U Mine (SteLouse Remix),ROZES,female,north america,spotify,,North America,,,,,CONTINENT: North America
259,I'll Whip Ya Head Boy,50 Cent,male,north america,spotify,,North America,,,,,CONTINENT: North America
260,Crime Wave,50 Cent,male,north america,spotify,,North America,,,,,CONTINENT: North America
261,I Was Sad Last Night I'm OK Now,tobi lou,male,north america,spotify,,North America,,,,,CONTINENT: North America
262,Te Suelto el Pelo,Yandel,male,north america,spotify,,South America,,,,,CONTINENT: South America
263,Heaven,Bryan Adams,male,north america,spotify,,North America,,,,,CONTINENT: North America
264,Because of You,Kelly Clarkson,female,north america,spotify,,North America,,,,,CONTINENT: North America
265,All Work,Curren$y,male,north america,spotify,,North America,,,,,CONTINENT: North America
266,Vuelva A Ver - Remix,Dalex,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
267,All Along The Watchtower,Jimi Hendrix,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
268,Good Time - Live From Spotify NYC,Owl City,male,north america,spotify,,North America,,,,,CONTINENT: North America
269,Hoy - Spanish Version,Gloria Estefan,female,north america,spotify,,South America,,,,,CONTINENT: South America
270,Chicago Boy,Ari Lennox,female,north america,spotify,,North America,,,,,CONTINENT: North America
271,Candy Shop,50 Cent,male,north america,spotify,,North America,,,,,CONTINENT: North America
272,Bounce It (feat. Stonebwoy),Collie Buddz,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
273,Where Them Niggaz At?,Pastor Troy,male,north america,spotify,,North America,,,,,CONTINENT: North America
274,Encima De Mi,Rauw Alejandro,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
275,You,Jesse Powell,male,north america,spotify,,North America,,,,,CONTINENT: North America
276,Molly,Tyga,male,north america,spotify,,North America,,,,,CONTINENT: North America
277,Want to Want Me,Jason Derulo,male,north america,spotify,,North America,,,,,CONTINENT: North America
278,On The Road (feat. Meek Mill & Lil Baby),Post Malone,male,north america,spotify,,North America,,,,,CONTINENT: North America
279,My Homeboy's Girlfriend,8Ball,male,north america,spotify,,North America,,,,,CONTINENT: North America
280,I'm Bad,LL Cool J,male,north america,spotify,,North America,,,,,CONTINENT: North America
281,My Darling,Eminem,male,north america,spotify,,North America,,,,,CONTINENT: North America
282,Rub You The Right Way,Johnny Gill,male,north america,spotify,,North America,,,,,CONTINENT: North America
283,Mo Better,Raheem DeVaughn,male,north america,spotify,,North America,,,,,CONTINENT: North America
284,Life Is A Highway,Tom Cochrane,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
285,Lemonade,Gucci Mane,male,north america,spotify,,North America,,,,,CONTINENT: North America
286,Calling All the Monsters,China Anne McClain,female,north america,spotify,,North America,,,,,CONTINENT: North America
287,Mannish Boy,Jimi Hendrix,male,north america,spotify,,North America,,,,,CONTINENT: North America
288,Make Your Mark,Drew Ryan Scott,male,north america,spotify,,North America,,,,,CONTINENT: North America
289,TiK ToK,Kesha,female,north america,spotify,,North America,,,,,CONTINENT: North America
290,Bout Me (feat. Problem & Iamsu),Wiz Khalifa,male,north america,spotify,,North America,,,,,CONTINENT: North America
291,Euphoria,Destiny Rogers,female,north america,spotify,,North America,,,,,CONTINENT: North America
292,Freddy Krueger (feat. Tee Grizzley),YNW Melly,male,north america,spotify,,North America,,,,,CONTINENT: North America
293,Reach (NBC Olympic Version),Gloria Estefan,female,north america,spotify,,North America,,,,,CONTINENT: North America
294,Mis Impulsos Sobre Ti - Remastered,Aleks Syntek,male,north america,spotify,,Europe,,,,,CONTINENT: Europe
295,1st & 10 (Featuring Infamous 2-0 & Fate Wilson),Ludacris,male,north america,spotify,,North America,,,,,CONTINENT: North America
296,Piensan,Myke Towers,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
297,Say It Again,AJ Mitchell,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
298,Te Guste,Jennifer Lopez,female,north america,spotify,,South America,,,,,CONTINENT: South America
299,Tell Me What You Want Me to Do,Tevin Campbell,male,north america,spotify,,North America,,,,,CONTINENT: North America
300,Prrrum,Cosculluela,male,north america,spotify,,Africa,,,,,CONTINENT: Africa
301,Eres Top,Ozuna,male,north america,spotify,,South America,,,,,CONTINENT: South America
302,Nextel Chirp,Maceo,male,north america,spotify,,North America,,,,,CONTINENT: North America
303,Home with You,Madison Beer,female,north america,spotify,,Africa,,,,,CONTINENT: Africa
304,Super Bass,Nicki Minaj,female,north america,spotify,,North America,,,,,CONTINENT: North America
305,Over Here Hustlin',Birdman,male,north america,spotify,,North America,,,,,CONTINENT: North America
306,Trap House,Gucci Mane,male,north america,spotify,,North America,,,,,CONTINENT: North America
307,Lose Yourself - Soundtrack Version,Eminem,male,north america,spotify,,North America,,,,,CONTINENT: North America
308,Stick Out,Pouya,male,north america,spotify,,North America,,,,,CONTINENT: North America
