index,song_title,artist,original_gender,original_continent,source,predicted_gender,predicted_continent,reasoning,attribute_scores,emotions,romance_topics,party_club,violence,politics_religion,success_money,family,slang_usage,formal_language,profanity,intensifiers,hedges,first_person,second_person,third_person,confidence,doubt_uncertainty,politeness,aggression_toxicity,cultural_references
10,La Vida Es Una (feat. Pitbull),Lil Jon,male,north america,spotify,Male,North America,"The lyrics heavily feature party and club themes with slang and informal language. There's a strong focus on romantic interest and physical attraction, along with repetitive phrases emphasizing enjoyment and living in the moment. The language suggests a North American origin and a male artist due to the conversational tone and subject matter.","{'emotions': 6, 'romance_topics': 7, 'party_club': 9, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 5, 'intensifiers': 4, 'hedges': 1, 'first_person': 6, 'second_person': 7, 'third_person': 3, 'confidence': 5, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 6}",6,7,9,1,1,3,1,8,1,5,4,1,6,7,3,5,1,1,4,6
11,We Own It (Fast & Furious),2 Chainz,male,north america,spotify,Male,North America,"The lyrics heavily emphasize financial success ('money s the motivation,' 'gettin paid,' 'cash'), with frequent slang and informal language ('paycation,' 'chick,' 'dogs'). First-person narration is dominant, expressing confidence and a fearless attitude. References to cars, wealth, and a 'wonder squad' point towards a North American, likely US, origin. The presence of violent imagery ('gunshots,' 'dangerous') and some profanity contribute to a moderate aggression score.","{'emotions': 7, 'romance_topics': 6, 'party_club': 4, 'violence': 4, 'politics_religion': 1, 'success_money': 9, 'family': 5, 'slang_usage': 8, 'formal_language': 1, 'profanity': 6, 'intensifiers': 6, 'hedges': 1, 'first_person': 9, 'second_person': 3, 'third_person': 3, 'confidence': 7, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 6}",7,6,4,4,1,9,5,8,1,6,6,1,9,3,3,7,2,1,3,6
12,Ain't No Future In Yo' Frontin',MC Breed,male,north america,spotify,Male,North America,"The lyrics heavily feature slang, profanity, and aggressive language, common in hip-hop. Themes of success, money, and street life are prevalent, along with references to cars and parties. First-person narration dominates, showcasing confidence and boasting. The violent imagery and aggressive tone point towards a male artist from North America, likely within the hip-hop genre.","{'emotions': 7, 'romance_topics': 2, 'party_club': 7, 'violence': 6, 'politics_religion': 1, 'success_money': 7, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 8, 'intensifiers': 6, 'hedges': 3, 'first_person': 8, 'second_person': 5, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 7, 'cultural_references': 6}",7,2,7,6,1,7,1,9,1,8,6,3,8,5,4,7,3,1,7,6
13,It Won't Stop (feat. Chris Brown) - Julian Calor Remix,Sevyn Streeter,female,north america,spotify,Male,North America,"The lyrics heavily focus on romantic feelings and a physical relationship, with frequent use of informal language and slang. The repetition and emotional intensity suggest a male artist, and the references to cars, beaches, and a generally modern vibe point towards a North American origin.","{'emotions': 8, 'romance_topics': 9, 'party_club': 4, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 7, 'formal_language': 1, 'profanity': 5, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 8, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 2, 'cultural_references': 4}",8,9,4,1,1,3,1,7,1,5,6,1,8,8,2,7,1,1,2,4
14,Phenomenal,Eminem,male,north america,spotify,Male,North America,"The lyrics heavily feature self-aggrandizement and assertive language, indicating a male artist. Frequent slang and profanity, combined with references to struggle and overcoming adversity, suggest a North American origin. The strong first-person perspective and confidence scores are dominant.","{'emotions': 7, 'romance_topics': 1, 'party_club': 1, 'violence': 4, 'politics_religion': 1, 'success_money': 6, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 6, 'intensifiers': 7, 'hedges': 1, 'first_person': 10, 'second_person': 6, 'third_person': 2, 'confidence': 8, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 5, 'cultural_references': 3}",7,1,1,4,1,6,1,8,1,6,7,1,10,6,2,8,1,1,5,3
15,Try,P!nk,female,north america,spotify,Male,North America,"The lyrics heavily explore romantic relationships, heartbreak, and the pain of deception, scoring high in romance and emotions. There's a persistent theme of overcoming adversity ('try, try, try'), suggesting resilience but not necessarily success or wealth. The repeated questioning of the listener ('tell me are you just getting by') indicates a level of engagement and shared experience. The language is relatively straightforward and accessible, leaning towards a North American style, and the presence of 'he' suggests a male perspective.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 3, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 7, 'second_person': 6, 'third_person': 4, 'confidence': 5, 'doubt_uncertainty': 4, 'politeness': 1, 'aggression_toxicity': 2, 'cultural_references': 2}",8,9,1,3,1,2,1,4,3,1,4,1,7,6,4,5,4,1,2,2
16,Not To Much - Remastered 2016,Don Omar,male,north america,spotify,Male,North America,"The lyrics heavily feature romantic and sexual themes, with a focus on physical interaction and desire. The party/club atmosphere is present, although not dominant. Slang and informal language are used frequently. The first-person perspective is strong, reflecting personal feelings and observations. The presence of 'Guille' suggests a cultural reference. The overall tone is confident and somewhat assertive, but with moments of uncertainty. The artist's gender is predicted as male based on the lyrical perspective and themes, and the region is North America due to slang usage and cultural references.","{'emotions': 8, 'romance_topics': 9, 'party_club': 7, 'violence': 3, 'politics_religion': 1, 'success_money': 3, 'family': 1, 'slang_usage': 7, 'formal_language': 3, 'profanity': 3, 'intensifiers': 6, 'hedges': 4, 'first_person': 8, 'second_person': 6, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 4, 'politeness': 2, 'aggression_toxicity': 2, 'cultural_references': 6}",8,9,7,3,1,3,1,7,3,3,6,4,8,6,4,7,4,2,2,6
17,Love Sosa,Chief Keef,male,north america,spotify,Male,North America,"The lyrics heavily feature slang, profanity, and aggressive language characteristic of a male rapper. References to cars (Raris, Rovers, Lambos), money, and a gang ('GBE') suggest a focus on success and a party/club lifestyle. The violent themes and frequent use of 'fuck' indicate high aggression and toxicity. The prevalence of first-person narration and the regional slang point towards a North American origin, specifically a style common in the Midwest/Chicago hip-hop scene.","{'emotions': 6, 'romance_topics': 1, 'party_club': 7, 'violence': 8, 'politics_religion': 1, 'success_money': 7, 'family': 1, 'slang_usage': 9, 'formal_language': 1, 'profanity': 10, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 5, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 9, 'cultural_references': 7}",6,1,7,8,1,7,1,9,1,10,6,1,8,5,4,7,2,1,9,7
18,Mama Knew Love,Anthony Hamilton,male,north america,spotify,Male,North America,"The lyrics heavily focus on familial love and respect, particularly for the artist's mother, with a nostalgic and reflective tone. The language is relatively straightforward, leaning towards informal but not overly slang-heavy. The prevalence of third-person narration describing the mother's struggles supports a male artist. The cultural references suggest an American context.","{'emotions': 9, 'romance_topics': 4, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 3, 'family': 10, 'slang_usage': 4, 'formal_language': 3, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 5, 'second_person': 3, 'third_person': 7, 'confidence': 5, 'doubt_uncertainty': 2, 'politeness': 2, 'aggression_toxicity': 1, 'cultural_references': 6}",9,4,1,1,1,3,10,4,3,1,4,1,5,3,7,5,2,2,1,6
19,Generé,Bipo Montana,male,north america,spotify,Male,North America,"The lyrics heavily emphasize upward mobility, wealth accumulation, and a defiant attitude ('From below to the top'), suggesting a male artist. The slang, profanity, and aggressive tone are common in North American hip-hop. Themes of success and financial gain are dominant, along with a confrontational stance towards perceived rivals. There's a significant presence of first-person narration and boasts of achievement.","{'emotions': 7, 'romance_topics': 4, 'party_club': 3, 'violence': 6, 'politics_religion': 1, 'success_money': 9, 'family': 3, 'slang_usage': 8, 'formal_language': 2, 'profanity': 7, 'intensifiers': 6, 'hedges': 1, 'first_person': 10, 'second_person': 6, 'third_person': 4, 'confidence': 8, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 6, 'cultural_references': 5}",7,4,3,6,1,9,3,8,2,7,6,1,10,6,4,8,2,1,6,5
20,Did It Again,Lil Tecca,male,north america,spotify,Male,North America,"The lyrics heavily feature slang, profanity, and themes of success and money, common in contemporary hip-hop. The frequent use of 'I' and aggressive language, combined with references to cars and travel, suggest a male artist from North America.","{'emotions': 7, 'romance_topics': 6, 'party_club': 4, 'violence': 6, 'politics_religion': 1, 'success_money': 9, 'family': 5, 'slang_usage': 9, 'formal_language': 1, 'profanity': 8, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 4, 'third_person': 3, 'confidence': 7, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 7, 'cultural_references': 4}",7,6,4,6,1,9,5,9,1,8,4,1,8,4,3,7,2,1,7,4
21,I'll Be All You'll Ever Need,Trinere,female,north america,spotify,Female,North America,"The lyrics heavily focus on romantic feelings, desire, and a plea for reciprocation, suggesting a female perspective. The language is relatively informal with some slang, and the frequent use of 'you' indicates direct address. The emotional tone is strong but not aggressive, with elements of insecurity and pleading. The overall style points towards a North American pop/R&B influence.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 5, 'formal_language': 3, 'profanity': 1, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 9, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 4, 'politeness': 2, 'aggression_toxicity': 2, 'cultural_references': 1}",8,9,1,1,1,1,1,5,3,1,6,1,8,9,2,7,4,2,2,1
22,Heartless (feat. Mustard),Polo G,male,north america,spotify,Male,North America,"The lyrics heavily feature violent themes, slang, and first-person narration indicative of a male rapper from North America. There's a focus on street life, money, and a confrontational attitude, alongside references to Chicago ('Chi') and social media. The strong use of profanity and aggression further supports this assessment.","{'emotions': 7, 'romance_topics': 5, 'party_club': 2, 'violence': 9, 'politics_religion': 1, 'success_money': 7, 'family': 3, 'slang_usage': 8, 'formal_language': 1, 'profanity': 7, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 4, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 6}",7,5,2,9,1,7,3,8,1,7,6,1,8,4,4,7,1,1,8,6
23,Say My Name,Lil Yachty,male,north america,spotify,Male,North America,"The lyrics heavily feature romantic longing ('i want you to say my name'), coupled with themes of success, money, and overcoming adversity. Slang and informal language are prevalent, and there's a clear focus on personal experience ('I', 'me'). The references to 'Billie Jean,' 'magazine,' 'chaffeured,' and 'clout' suggest a North American context. The tone is assertive but also reveals vulnerability and a struggle for recognition.","{'emotions': 7, 'romance_topics': 8, 'party_club': 3, 'violence': 2, 'politics_religion': 1, 'success_money': 5, 'family': 2, 'slang_usage': 6, 'formal_language': 2, 'profanity': 4, 'intensifiers': 5, 'hedges': 2, 'first_person': 9, 'second_person': 7, 'third_person': 3, 'confidence': 6, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 3, 'cultural_references': 5}",7,8,3,2,1,5,2,6,2,4,5,2,9,7,3,6,2,1,3,5
24,Without You - Remastered,Harry Nilsson,male,north america,spotify,Male,North America,"The lyrics heavily focus on heartbreak and lost love, showcasing intense emotions and a first-person perspective. The language is relatively straightforward, suggesting a North American male artist. There's minimal use of slang, profanity, or cultural references.","{'emotions': 9, 'romance_topics': 10, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 3, 'formal_language': 4, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 10, 'second_person': 5, 'third_person': 1, 'confidence': 4, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 1}",9,10,1,1,1,1,1,3,4,1,4,1,10,5,1,4,3,1,1,1
25,Raise Up,Petey Pablo,male,north america,spotify,Male,North America,"The lyrics heavily feature regional slang and references to North Carolina, including specific county names and prison systems. There's a strong sense of pride and celebration of a specific community, with mentions of success ('superstar', 'big ol car') and a confrontational, aggressive tone interspersed with profanity. The repeated phrases and focus on a specific place indicate a strong regional identity.","{'emotions': 6, 'romance_topics': 1, 'party_club': 2, 'violence': 4, 'politics_religion': 1, 'success_money': 7, 'family': 3, 'slang_usage': 9, 'formal_language': 1, 'profanity': 7, 'intensifiers': 3, 'hedges': 1, 'first_person': 8, 'second_person': 2, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 5, 'cultural_references': 9}",6,1,2,4,1,7,3,9,1,7,3,1,8,2,4,7,1,1,5,9
26,Get the Party Started,P!nk,female,north america,spotify,Male,North America,"The lyrics heavily emphasize partying, wealth, and a confident persona, with significant slang usage and references to cars and locations typical of North American urban culture. The repetition and assertive tone suggest a male artist.","{'emotions': 4, 'romance_topics': 1, 'party_club': 10, 'violence': 3, 'politics_religion': 1, 'success_money': 7, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 3, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 6, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 6}",4,1,10,3,1,7,1,8,1,3,6,1,8,6,2,7,1,1,4,6
27,Paloma Negra,Chavela Vargas,female,north america,spotify,Male,North America,"The lyrics heavily focus on romantic heartbreak, longing, and frustration. Frequent use of 'I' and 'you' indicates a personal and direct address. Themes of suffering and a desire for freedom are prominent. The presence of party references and some slang suggests a contemporary setting. The tone is a mix of vulnerability and anger, leaning towards a male perspective.","{'emotions': 9, 'romance_topics': 10, 'party_club': 6, 'violence': 4, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 5, 'formal_language': 3, 'profanity': 3, 'intensifiers': 4, 'hedges': 2, 'first_person': 10, 'second_person': 8, 'third_person': 2, 'confidence': 5, 'doubt_uncertainty': 6, 'politeness': 1, 'aggression_toxicity': 5, 'cultural_references': 3}",9,10,6,4,1,1,1,5,3,3,4,2,10,8,2,5,6,1,5,3
28,2025-11-07 00:00:00,Beyoncé,female,north america,spotify,Male,North America,"The lyrics heavily feature party/club themes with repetitive phrases and slang. First-person perspective is present, but limited. The language is informal and lacks emotional depth beyond a general sense of excitement. References to alcohol and 'rollin dice' suggest a party atmosphere. The overall tone is energetic and confident, but not aggressive or particularly emotional.","{'emotions': 4, 'romance_topics': 1, 'party_club': 9, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 8, 'formal_language': 1, 'profanity': 2, 'intensifiers': 3, 'hedges': 1, 'first_person': 6, 'second_person': 4, 'third_person': 2, 'confidence': 5, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 4}",4,1,9,1,1,2,1,8,1,2,3,1,6,4,2,5,1,1,1,4
29,My Nigga,YG,male,north america,spotify,Male,North America,"The lyrics heavily feature themes of loyalty, friendship ('homies'), and street life, with frequent slang and profanity. Violence and aggression are present, while romance and formal language are minimal. The frequent use of 'I' and direct addressing ('you') indicates a personal and assertive perspective, typical of male rappers from North America.","{'emotions': 7, 'romance_topics': 1, 'party_club': 3, 'violence': 6, 'politics_religion': 1, 'success_money': 5, 'family': 3, 'slang_usage': 9, 'formal_language': 1, 'profanity': 8, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 5, 'third_person': 4, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 6, 'cultural_references': 4}",7,1,3,6,1,5,3,9,1,8,4,1,8,5,4,7,1,1,6,4
30,pete davidson,Ariana Grande,female,north america,spotify,Male,North America,"The lyrics heavily emphasize romantic feelings and a sense of destiny with a romantic partner. The frequent use of 'I' and references to personal happiness suggest a male perspective. The language is relatively informal with some slang, typical of North American contemporary music.","{'emotions': 8, 'romance_topics': 9, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 2, 'family': 1, 'slang_usage': 7, 'formal_language': 1, 'profanity': 1, 'intensifiers': 4, 'hedges': 1, 'first_person': 8, 'second_person': 3, 'third_person': 2, 'confidence': 7, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 2}",8,9,1,1,1,2,1,7,1,1,4,1,8,3,2,7,1,1,1,2
31,Go to Hell,Alice Cooper,male,north america,spotify,Male,North America,"The lyrics depict extreme aggression, violence, and a cynical worldview. The frequent use of 'you' suggests direct address and accusation. The language is generally informal with a high degree of profanity. The overall tone is hostile and confrontational, consistent with a male artist from North America.","{'emotions': 7, 'romance_topics': 1, 'party_club': 1, 'violence': 9, 'politics_religion': 1, 'success_money': 1, 'family': 3, 'slang_usage': 4, 'formal_language': 3, 'profanity': 7, 'intensifiers': 3, 'hedges': 1, 'first_person': 2, 'second_person': 8, 'third_person': 2, 'confidence': 5, 'doubt_uncertainty': 1, 'politeness': 1, 'aggression_toxicity': 8, 'cultural_references': 1}",7,1,1,9,1,1,3,4,3,7,3,1,2,8,2,5,1,1,8,1
32,Paparazzi,Lady Gaga,female,north america,spotify,Female,North America,"The lyrics heavily focus on romantic obsession and chasing a celebrity, evident in the repeated references to paparazzi and the desire to be the artist's 'girl.' Slang is prevalent, and the tone is assertive and somewhat aggressive, suggesting a female artist from North America.","{'emotions': 8, 'romance_topics': 9, 'party_club': 7, 'violence': 1, 'politics_religion': 1, 'success_money': 6, 'family': 1, 'slang_usage': 7, 'formal_language': 1, 'profanity': 3, 'intensifiers': 6, 'hedges': 1, 'first_person': 8, 'second_person': 8, 'third_person': 3, 'confidence': 7, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 6}",8,9,7,1,1,6,1,7,1,3,6,1,8,8,3,7,2,1,4,6
33,Where I Won't Be Found,Seven Lions,male,north america,spotify,Male,North America,"The lyrics convey a sense of introspection and escapism, with a focus on personal feelings and a desire to disconnect ('where I will not be found'). The repeated phrases and simple language suggest a male artist, likely from North America, aiming for a raw and emotive sound.","{'emotions': 7, 'romance_topics': 1, 'party_club': 1, 'violence': 1, 'politics_religion': 1, 'success_money': 1, 'family': 1, 'slang_usage': 3, 'formal_language': 3, 'profanity': 1, 'intensifiers': 3, 'hedges': 1, 'first_person': 8, 'second_person': 1, 'third_person': 1, 'confidence': 5, 'doubt_uncertainty': 2, 'politeness': 1, 'aggression_toxicity': 1, 'cultural_references': 2}",7,1,1,1,1,1,1,3,3,1,3,1,8,1,1,5,2,1,1,2
34,Go Getta,Jeezy,male,north america,spotify,Male,North America,"The lyrics heavily feature slang and informal language, indicative of a North American hip-hop artist. Themes of partying, getting money, and street life are prominent. The frequent use of 'I' and references to 'homies' suggest a male perspective. There's some aggression and toxicity through mentions of 'haters' and 'enemies.'","{'emotions': 6, 'romance_topics': 4, 'party_club': 7, 'violence': 3, 'politics_religion': 1, 'success_money': 7, 'family': 3, 'slang_usage': 9, 'formal_language': 1, 'profanity': 6, 'intensifiers': 4, 'hedges': 1, 'first_person': 7, 'second_person': 3, 'third_person': 4, 'confidence': 6, 'doubt_uncertainty': 3, 'politeness': 1, 'aggression_toxicity': 4, 'cultural_references': 6}",6,4,7,3,1,7,3,9,1,6,4,1,7,3,4,6,3,1,4,6
